judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
,,,,,
Penggunaan Informasi Akuntansi Pertanggungjawaban Berbasis Aktivitas Sebagai Dasar Penilaian Kinerja Pada Ruang Rawat Inap VIP Rumah Sakit Paru BP4 Pamekasan.,Penulis : LAILIA NINGSIH,"Dosen Pembimbing I : Dr. Chairul Anam, Drs. Ec., M.Kes","Dosen Pembimbing II :Hj. Evaliati Amaniyah, SE, M.S.M.","ABSTRAK
Lailia Ningsih, Penggunaan Informasi Akuntansi Pertanggungjawaban Berbasis Aktivitas Sebagai Dasar Penilaian Kinerja ( Pada Ruang Rawat Inap VIP Rumah Sakit Paru BP4 Pamekasan ). Dibawah bimbingan Dr. Chairul Anam, Drs. Ec., M.Kes dan Hj. Evaliati Amaniyah, SE, M.S.M.
Rumah Sakit BP4 merupakan Rumah Sakit Pemerintah yang terikat oleh Badan Hukum. Bentuk badan hukum tersebut adalah Pemendagri maupun Pergub Jatim. Hal tersebut membuat pengelolaan aktiva, pendapatan dan biaya tidak mengalami perkembangan (statis), Oleh karena itu, perlu adanya penggunaaan informasi akuntansi pertanggungjawaban berdasarkan aktivitas guna mencapai keunggulan bersaing sehingga perusahaan dapat tetap mempertahankan eksistensinya.
Tujuan penelitian ini adalah untuk mengetahui suatu aktivitas yang bernilai tambah dan aktivitas tidak bernilai tambah bagi pasien sehingga dapat diketahui seberapa besar penggunaan biaya dari suatu aktivitas yang dilakukan sehingga tidak terjadi adanya pemborosan serta efisiensi biaya dapat tercapai.
Penelitian yang menggunakan metode penelitian deskriptif ini berusaha menggambarkan fenomena yang berkaitan dengan sejumlah variabel yang diteliti. Selanjutnya menganalisis penggunaan informasi akuntansi pertanggungjawaban berbasis aktivitas pada ruang rawat inap VIP Rumah Sakit BP4 Pamekasan.
Dari hasil analisis aktivitas teridentifikasi aktivitas yang tidak bernilai tambah yaitu perhitungan biaya rawat dan pengawasan hasil kerja. Berdasarkan hasil perhitungan biaya dengan menggunakan informasi akuntansi berbasis aktivitas terdapat efisiensi biaya dengan mengeliminasi aktivitas yang tidak bernilai tambah sebesar Rp 435.504.338,99. Hal ini disebabkan karena adanya perhitungan yang terperinci dengan menggunakan cost driver dari setiap aktivitas yang dilakukan.
Kata kunci : Manajemen berbasis aktivitas , Cost driver, Non value added activity","ABSTRACT
Lailia Ningsih, Implementation of Activity web based accountability information as performance assessment base (study on VIP inpatient lounge of Pamekasan BP4 Lung Hospital). Advisor I: Dr. Chairul Anam, Drs. Ec., M.Kes. Advisor II: Hj. Evaliati Amaniyah, SE, M.S.M.
BP4 Hospital is a government hospital which is bound by legal entity. The form of legal entity is regulation issued by ministry of home affairs and governor of east-java. This condition makes the management of assets, income and expenses do not show any progress (static). Therefore, the need of activity-based accounting information implementation is necessary in order to achieve a competitive advantage so that the company can maintain its existence.
The purpose of this study is to determine a value added activity and non value added activities for patients in order to find out how much cost of an activity expended for an accomplished activity so that the wasteful expanses can be avoided and cost efficiencies successfully achieved.
This descriptive study seeks to describe the phenomenon related to a number of variables studied. Next, the analyzing activity-based accounting information implementation in the VIP inpatient room of BP4 Pamekasan hospital is conducted.
The result of activity analysis identify a non value added activities; calculation of care cost and work supervision. Based on the results of cost calculation using activity-based accounting information, there is cost efficiency by eliminating non value added activities is Rp 435.504.338,99. This is caused by the detailed calculation of using a cost driver for any activity conducted.
Keywords: Activity-based management, cost driver, non value added activity"
,,,,,
,,,,,
"PENGARUH BRAND AWARENESS DAN BRAND IMAGE TERHADAP KEPUTUSAN PEMBELIAN 
( STUDI PADA  KONSUMEN ES KRIM WALL’S DI BANGKALAN )
",Penulis : Sutrisno Nur Hidayat,"Dosen Pembimbing I : Drs. Mohamad Tambrin, MM","Dosen Pembimbing II :Fathor AS,SE., MM","Abstrak

Brand Awareness dan Brand Image merupakan kemampuan konsumen mengingat suatu merek dalam mengambil keputusan membeli dimana konsumen akan mengingat merek yang pertama dibeli dan citra yang ada pada merek tersebut . Variabel Brand Awareness dan Brand Image. Tujuan penlitian ini adalah (1) untuk mengetahui pengaruh Brand Awareness dan Brand Image secara simultan terhadap keputusan pembelian (Studi Pada Konsumen Es Krim Wall’s Di Bangkalan), (2) untuk mengetahui variabel Brand Awareness dan Brand Image yang berpengaruh dominan terhadap keputusan pembelian (Studi Pada Konsumen Es Krim Wall’s Di Bangkalan). Penelitian ini menggunakan pendekatan kuantitatif yang berusaha untuk mengetahui bagaimana pengaruh Brand Awareness dan Brand Image terhadap keputusan pembelian (Studi Pada Konsumen Es Krim Wall’s Di Bangkalan). Teknik pengambilan sampel menggunakan purposive sampling dengan 30 responden yang dapat diolah datanya. Teknik pengumpulan data yaitu dengan wawancara, kepustakaan, dan kuesioner dan menggunakan skala likert untuk mengukur jawaban responden. Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik. Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji T. Hasil penelitian ini menunjukkan bahwa variabel Brand Awareness dan Brand Image berpengaruh secara simultan terhadap keputusan pembelian (Studi Pada Konsumen Es Krim Wall’s Di Bangkalan). Brand Awareness dan Brand Image berpengaruh secara parsial terhadap keputusan pembelian (Studi Pada Konsumen Es Krim Wall’s Di Bangkalan). Variabel Brand Image berpengaruh dominan terhadap keputusan pembelian (Studi Pada Konsumen Es Krim Wall’s Di Bangkalan).

Kata kunci : brand brand awareness, brand image dan purchasing decisions
","Abstract

Brand Awareness and Brand Image are the ability of the consumer in remembering a brand while considering the purchase decisions where consumers will remember the first brand purchased and the existing image on the brand. Brand Awareness and Brand Image Variables. The purpose of this study is (1) to determine the influence of Brand Awareness and Brand Image simultaneously on purchase decisions (A Study On Ice Cream Wall's Consumer In Bangkalan), (2) to determine the variable of Brand Awareness and Brand Image has a dominant influence on purchase decisions (A Study at Wall's Ice Cream Consumers In Bangkalan). This study used a quantitative approach that seeked to determine how is the influence of Brand Awareness and Brand Image on purchase decisions (A Study at Wall's Ice Cream Consumers In Bangkalan). The Sampling technique used the purposive sampling with 30 respondents that could be processed the data. the data were collected through interviews, literature, and questionnaires and used a Likert scale to measure the respondents' answers. In testing the instrument, the researcher used the validity test, reliability test, and classical assumption. While the data analysis technique that is used in this study is a multiple linear regression analysis because the variables that are used more than two variables, through F test and T test. The results of this study indicate that the variable of Brand Awareness and Brand Image is simultaneously affected the purchasie decisions (A Study at Wall's Ice Cream Consumers In Bangkalan). Brand Awareness and Brand Image partially affects on purchase decisions (A Study at Wall's Ice Cream Consumers In Bangkalan). Brand Image variable dominantly influence the purchase decisions (A Study at Wall's Ice Cream Consumers In Bangkalan).

Keywords: kesadaran merek, citra merek dan keputusan pembelian
"
,,,,,
,,,,,
"PENGARUH PELAKSANAAN PROGRAM KESEHATAN DAN 
KESELAMATAN KERJA TERHADAP PRODUKTIVITAS KERJA KARYAWAN BAGIAN PRODUKSI PADA PT ADILUHUNG SARANASEGARA INDONESIA KABUPATEN BANGKALAN
",Penulis : MUHAMMAD JAILANI,"Dosen Pembimbing I : Dr. Dra. Hj. Iriani Ismail, MM","Dosen Pembimbing II :Faidal, SE, MM","ABSTRAK
Kesehatan dan keselamatan kerja merupakan salah satu faktor penting yang dapat mempengaruhi produktivitas karyawan. Risiko kecelakaan serta penyakit yang meningkat akibat kerja sering terjadi karena program kesehatan dan keselamatan kerja tidak berjalan dengan baik. 
Penelitian bertujuan untuk mengetahui program kesehatan dan keselamatan kerja berpengaruh terhadap produktivitas kerja karyawan Bagian Produksi PT. Adiluhung Saranasegara Indonesia Kabupaten Bangkalan. Kemudian Untuk mengetahui variabel yang dominan berpengaruh terhadap produktivitas kerja karyawan Bagian Produksi PT. Adiluhung Saranasegara Indonesia Kabupaten Bangkalan.
Berdasarkan analisis menggunakan alat uji regresi linier berganda ditemukan bahwa, variabel kesehatan (X1) berpengaruh terhadap variabel produktivitas sebesar 222%. Sedangkan variabel keselamatan (X2) berpengaruh terhadap variabel produktivitas sebesar 596%. Kemudian hasil koefisien determinasi berganda (R2) atau R Square menunjukkan hasil sebesar 0,928, hal ini menunjukkan bahwa persentase pengaruh variabel kesehatan dan keselamatan terhadap produktivitas karyawan adalah sebesar 861%. Sedangkan sisanya sebesar 13,9% dipengaruhi atau dijelaskan oleh variabel lain yang tidak dimasukkan dalam penelitian ini. Dari hasil penelitian ini variabel keselamatan terbukti kebenarannya, yaitu berpengaruh dominan dengan nilai beta sebesar 0,596.
Kata kunci :	Kesehatan, Keselamatan Kerja, Produktivitas
","ABSTRACT
Healthy and safety working is an important factor that can influence the productivity. The increasing of accident possibility and disease are often happen when the Healthy and safety working is not implemented well. 
The purposes of this study are; to determine the influence of Healthy and safety working on employees’ productivity in production department at PT. Adiluhung Saranasegara Indonesia – Bangkalan, to determine a variable that has dominant influence on employees’ performance productivity in production department at PT. Adiluhung Saranasegara Indonesia – Bangkalan. 
Based on the analysis using multiple linear regression testing instruments, it shows that the healthy variable (X1) has an influence on productivity variable as 222%. In the other side, safety variable (X2) has an influence on productivity variable as 596%. Multiple determination coefficients (R2) or R Square result as 0,928. These indicate that the percentage influence of Healthy and safety variables on productivity variable is 861%, while the remaining of 13,9% is influenced or explained by another variable that is not involved in the study. 

Keywords :	Healhty, Safety Working, Productivity.

"
,,,,,
,,,,,
"Analisis Inovasi Dan Keunggulan Bersaing 
Dalam Meningkatkan Kinerja Pemasaran
(Studi Pada Optik Reza Lamongan)",Penulis : Sandy Ardiansyah,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM.","Dosen Pembimbing II :Suyono, S.E., M. S. M.","ABSTRAK
	Tujuan penelitian ini adalah mendeskripsikan inovasi, keunggulan bersaing, kinerja pemasaran sebelum dan sesudah diterapkannya inovasi dan keunggulan bersaing pada Optik Reza Lamongan. Penelitian ini menggunakan deskriptif kualitatif dengan pendekatan fenomenologi. Teknik pengumpulan data yang digunakan adalah wawancara, observasi, penggunaan dokumen. Sedangkan teknik analisis data dilakukan dengan cara data reduction, data display, conclusion drawing atau verification.
	Hasil penelitian menunjukkan bahwa dalam perusahaan Optik Reza Lamongan telah melakukan sebuah inovasi, keunggulan bersaing dalam meningkatkan kinerja pemasaran. Setelah Optik Reza Lamongan menerapkan inovasi dan keunggulan bersaing volume omzet penjualan semakin meningkat terbukti pada tahun ke tahun terus mengalami peningkatan. Produk yang ditawarkannya semakin mengalami perbaikan, sehingga pangsa pasarnya semakin meluas ke segala daerah yang ada di Jawa Timur dan Jawa Tengah.
	
Kata kunci : Inovasi, Keunggulan Bersaing, Kinerja Pemasaran

","ABSTRACT
The purpose of this study is to describe the innovation, competitive advantage, marketing performance before and after the application of innovation and competitive advantage on Optic of Reza Lamongan. This study used a qualitative descriptive phenomenological approach. Data collection techniques used were interviews, observations, document use. While the techniques of data analysis done by data reduction, data display, conclusion drawing or verification.
The results showed that the company has done Optic of Reza Lamongan an innovation, competitive advantage in improving marketing performance. After Optic of Reza Lamongan applying innovation and competitive advantage volume of sales turnover increasing year on year proved constantly increasing. Products are offered further improved, thus expanding its market share in all areas in East Java and Central Java.

Keywords : Innovation, Competitive Advantage, Performance Marketing
"
,,,,,
PENGARUH ATRIBUT PRODUK TERHADAP KEPUTUSAN PEMBELIAN,Penulis : Abdulloh Fajar Ridlo,"Dosen Pembimbing I : Dr. H. Muh Syarief,Drs Ec.,M.Si","Dosen Pembimbing II :Yustina Chrismardani, S.Si.,M.M","ABSTRAK
Penelitian ini bertujuan untuk mengetahui untuk keputusan dalam pembelian Teh Pucuk Harum dilihat dari merek, kemasan, layanan pelengkap, dan jaminan (garansi). 
Untuk mengetahui faktor yang dominan mempengaruhi keputusan pembelian Teh Pucuk Harum, variabel bebas dalam penelitian ini adalah merek (X1), kemasan (X2), layanan pelengkap (X3), dan jaminan (garansi) (X4), sedangkan variabel terikat pada penelitian ini adalah keputusan pembelian (Y).
 teknik pengambilan sampel dalam penelitian ini menggunakan accidental sampling, penyebaran kuesioner dilakukan terhadap 75 responden, dari hasil analisis dapat disimpulkan bahwa : 1). Atribut yang terdiri dari variabel merek berpengaruh positif dan signifikan terhadap keputusan pembelian, sedangkan pada variabel kemasan, layanan pelengkap, jaminan (garansi) berpengaruh negatif dan tidak signifikan terhadap keputusan pembelian. 2). Pada variabel bebas yang meliputi merek, kemasan, layanan pelengkap, jaminan (garansi). 
Kesimpulan penelitian ini adalah bahwa variabel merek berpengaruh terhadap keputusan pembelian Teh Pucuk Harum, jika keputusan pembelian dirasakan konsumen baik, maka merek pun akan baik. Pada variabel kemasan tidak berpengaruh terhadap keputusan pembelian Teh Pucuk Harum. Pada variabel layanan pelengkap tidak berpengaruh terhadap keputusan pembelian Teh Pucuk Harum. Pada variabel jaminan (garansi) tidak berpengaruh terhadap keputusan pembelian.
Variabel merek memiliki pengaruh yang dominan terhadap keputusan pembelian.
Kata kunci : Atribut produk (merek, kemasan, layanan pelengkap, jaminan (garansi), keputusan pembelian. 
","ABSTRACT

This study aims to determine for purchasing decisions in Tea Shoots Harum seen from branding, packaging, complementary services, and guarantee (warranty).
To determine the dominant factor influencing purchasing decisions Fragrant Tea Shoots, independent variable in this study is the brand (X1), packaging (X2), complementary services (X3), and the guarantee (warranty) (X4), while the dependent variable in this study is purchasing decisions (Y). 

sampling techniques in this study using the accidental sampling, questionnaires conducted on 75 respondents, the results of the analysis can be concluded that: 1). Attributes which consists of a variable positive and significant effect of brand on purchasing decisions, while the variable packaging, complementary services, guarantee (warranty) and no significant negative impact on purchasing decisions. 2). In the independent variables which include branding, packaging, complementary services, guarantee (warranty).

In conclusion quality statistical variable is influencing Teh Pucuk Harum purchase. If consumers get a good purchase, the brand will also be good. Sachet quality statistical variable and service complement statistical are not influencing the purchase.

 Variable brand has a dominant influence on purchasing decisions.

Keywords:Attributesproduct(brand, packaging, complementary services, guarantee(warranty), the purchasedecision

"
,,,,,
"Pengaruh Kualitas pelayanan Terhadap kepuasan Pelanggan Jasa Internet Speedy  (Studi pada Pelanggan PT. Telekomunikasi Indonesia, Tbk di Kecamatan Kota Kabupaten Pamekasan)",Penulis : Ah. Faqih Qoriwildani,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM","Dosen Pembimbing II :Nirma Kurriwati, SP., M.Si","Ah. Faqih Qoriwildani, Pengaruh Kualitas pelayanan Terhadap kepuasan Pelanggan Jasa Internet Speedy  (Studi pada Pelanggan PT. Telekomunikasi Indonesia, Tbk di Kecamatan Kota Kabupaten Pamekasan). Dibawah bimbingan Dr. Ir. Nurita Andriani, MM dan Nirma Kurriwati, SP., M.Si.
Layanan speedy tidak menjamin seratus persen bahwa layanan internet yang diberikan oleh PT. Telkom tersebut dapat memuaskan pelanggannya. Hal ini menunjukkan kualitas pelayanan PT. Telekomunikasi Indonesia, Tbk masih dinilai kurang memuaskan. Salah satunya yaitu layanan internet speedy PT. Telkom di Kabupaten Pamekasan.
Penelitian ini bertujuan Untuk mengetahui besarnya pengaruh variabel-variabel kualitas pelayanan (reliabilitas, daya tanggap, jaminan, empati, dan bukti fisik) secara simultan dan parsial, serta mengetahui variabel manakah dari kualitas pelayanan yang memiliki pengaruh terbesar terhadap kepuasan pelanggan pengguna jasa internet Speedy di Kecamatan Kota Kabupaten Pamekasan. Kemudian, yang dijadikan sampel adalah orang yang datang ke kantor PT. Telkom di Kabupaten Pamekasan maupun berlangganan dan sekaligus juga menggunakan internet Speedy.
Hasil penelitian ini secara simultan menunjukkan bahwa terjadi pengaruh antara variabel bebas yang terdiri dari reliabilitas, daya tanggap, jaminan, empati dan bukti fisik terhadap variabel terikatnya yaitu kepuasan pelanggan jasa internet Speedy secara signifikan. Artinya bahwa responden menyatakan semua variabel bebas tersebut dianggap penting untuk dapat meningkatkan kepuasan pelanggan pada internet Speedy. Kemudian, secara parsial menunjukkan variabel bebas yang terdiri dari reliabilitas, daya tanggap, jaminan, empati dan bukti fisik mempunyai pengaruh yang positif dan signifikan terhadap kepuasan pelanggan jasa internet Speedy. Selanjutnya, secara parsial menunjukkan bahwa variabel kualitas pelayanan berdasar pada jaminan mempunyai pengaruh dominan terhadap kepuasan pelanggan jasa internet Speedy.

Kata Kunci: kualitas pelayanan, Kepuasan Pelanggan, Pelanggan PT. Tele-
komunikasi Indonesia, Tbk di Kecamatan Kota Kabupaten Pame-kasan
","Ah. Faqih Qoriwildani, The Influence Of Service Quality On Customer Satisfaction Internet Speedy  Services (Study on Customer PT. Telekomunikasi Indonesia, Tbk in The City Subdistrict of Pamekasan District). Under the guidance of Dr. Ir. Nurita Andriani, MM and Nirma Kurriwati, SP., M.Si.

Speedy service doesn’t guarantee one hundred percent that the Internet service provided by PT. Telkom is able to satisfy the customers. It showed the quality of service PT. Telekomunikasi Indonesia, Tbk was still considered less satisfactory. One of them is PT speedy internet service. Telkom in Pamekasan.
This research is purposed to determine the influence of service quality variables (reliability, responsiveness, assurance, empathy, and tangibles) simultaneously and partial, and to know which service quality variables that has the biggest influence on customer satisfaction of internet speedy service users in the district of` Pamekasan. Furthermore, research method is used quantitative research with quantitative data analysis/statistics. The population of this research is the customer PT. Telkom Sub City Pamekasan who is come to PT. Telkom as the customers and Internet users Speedy.
The results of this research simultaneously showed that happened an influence between  independent variables are consist of reliability, responsiveness, assurance, empathy and tangibles against the dependent variable of customer satisfaction  internet Speedy services significantly. This means that respondents said all the independent variables considered important to be able to increase speedy customer satisfaction on the internet. Then, partially shows the independent variables are consist of reliability, responsiveness, assurance, empathy and tangibles have a positive effect and significant  on customer satisfaction  of internet speedy services. Furthermore, partial indicates that the variable  of  service quality based on the guarantees have a dominant influence on customer satisfaction of internet Speedy services.

Keywords: service quality, Customer Satisfaction, Customer PT. Telekomunikasi Indonesia, Tbk in The City Subdistrict of Pamekasan District
"
,,,,,
"ANALISIS FAKTOR-FAKTOR YANG MENENTUKAN PREFERENSI BELANJA ONLINE PRODUK FASHION (Studi Pada Mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura)",Penulis : ulfiyatun Mutohharoh,"Dosen Pembimbing I : Drs. Mohamad Tambrin, MM.","Dosen Pembimbing II :Yustina Chrismardani, S.Si, MM.","Ulfiyatun Mutohharoh, “Analisis Faktor-faktor yang Menentukan Preferensi Belanja Online Produk Fashion (Studi pada mahasiwa Fakultas Ekonomi
TRUNOJOYO JOURNAL OF ECONOMICS
Program Studi Manajemen Fakultas Ekonomi
Universitas Trunojoyo Madura
2
Universitas Trunojoyo Madura)”. Dibawah bimbingan Drs. Mohamad Tambrin, MM dan Yustina Crismardani, S.Si, MM
Internet merupakan suatu sistem informasi global berbasis komputer. Internet perlahan-lahan telah menggeser budaya pembelian produk dari cara konvensional menjadi lebih praktis dan modern melalui suatu cara yang disebut dengan berbelanja secara online. Seperti yang dirilis oleh detik.com bahwa hampir 75% mahasiswa pernah melakukan pembelian produk secara online, disebutkan juga produk yang dibeli oleh mahasiswa sebagian besar adalah produk fashion.
Penelitian ini mempunyai tujuan untuk menganalisis faktor-faktor yang menentukan preferensi belanja online produk fashion pada mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura, serta untuk mengetahui faktor yang dipertimbangkan dalam menetukan preferensi belanja online produk fashion pada mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura. Dari penelitian ini tidak ada variabel bebas maupun variabel terikat, tetapi variabel satu dengan yang lainnya saling berketergantungan (interdependent variable).
Jenis penelitian yang digunakan adalah penelitian deskriptif, metode penelitian sampel yang digunakan adalah accidental sampling, jumlah populasi 100 responden pada mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura yang pernah berbelanja produk fashion secara online. Metode analisis yang digunakan adalah analisis faktor.
Hasil penelitian menyebutkan bahwasanya dari hasil statistic analisis faktor konfirmatori didapatkan bahwa nilai KMO dari 10 item 4 variabel preferensi belanja online menghasilkan nilai yang cukup rendah yaitu sebesar 0,547 sehingga berada pada klasifikasi kurang (Miserable).Nilai KMO yang cukup rendah dari hasil statistik analisis faktor konfirmatori didapatkan bahwa nilai KMO ini menunjukkan adanya ukuran kecukuperatan hubungan antar variabel yang digunakan dalam analisis faktor sehingga dapat dikatakan data pada uji analisis faktor ini layak digunakan.
Kesimpulan dari penelitian ini adalah: Harga (X1), pelayanan (X2), waktu (X3), dan alternatif (X4) merupakan faktor yang menentukan preferensi belanja online produk fashion mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura. Berdasarkan hasil pengujian faktor harga merupakan faktor yang dipertimbangkan oleh mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura dalam menentukan preferensi belanja online pada produk fashion.","Ulfiyatun Mutohharoh, “The Factor Analysis on The Preferences in the Online of Fashion Products (a study on the student of the Economic Faculty University of Trunojoyo Madura)”.
Thesis advisors: Drs. Mohamad Tambrin, MM. dan Yustina Chrismardani, S.Si., MM.
The purpose of this study was to analyze the factors that determine the preference in the online shopping of fashion products among student in Economic Faculty at University of Trunojoyo Madura, and to find out the factors that were considered in determining the preference in online shopping of fashion products among student in Economic Faculty in University of Trunojoyo Madura. In this study, there were no independent and dependent variables, but only the interdependent variables.
This study applied descriptive method. The samples were taken by using accidental sampling technique. The population was students of Economic Faculty as many as 100 respondents, who had experienced in buying online products. The analytical method used was factor analysis.
The result showed that the statistical result of the confirmatory factor analysis indicated that the KMO value of 100 items (4 preference variables) of onlineshopping produced a quite low value that was 0.547 which was Misirable. This KMO value showed there was a close relationship between the variables used in the analyzing the factors. Therefor, the data in this factor analysis test was feasible.
Conclusion of this study were: price (x1), service (X2), time (X3) and alternative (X4) were the factors that determine the preference in online shopping of fashion products for students of students of Economic Faculty University of Trunojoyo Madura. Based on test results, the price factor was a factor that was most considered by the students of Economis Faculty in University of Trunojoyo Madura in determining the preference in online shopping on the fashion products."
,,,,,
,,,,,
,,,,,
"Pengaruh Perputaran piutang terhadap Profabilitas
(ROA) pada perusahaan Industri Manufaktur Sektor Keramik, Porselen dan Kaca
yang terdaftar di Bursa Efek Indonesia (BEI).",Penulis : WILAUDDIN,"Dosen Pembimbing I : Drs. Ec. H. Makhmud Zulkifli, Msi","Dosen Pembimbing II :R. Gatot Heru Pranjoto,SE., MM","Wilauddin, 100211100015. Pengaruh Perputaran piutang terhadap Profabilitas
(ROA) pada perusahaan Industri Manufaktur Sektor Keramik, Porselen dan Kaca
yang terdaftar di Bursa Efek Indonesia (BEI). Skripsi. Fakultas Ekonomi,
Universitas Trunojoyo Madura. Pembimbing : (I) Drs. Ec. H. Makhmud Zulkifli,
M.Si. (II) R. Gatot Heru Pranjoto, S.E., M.M. 
Tujuan penelitian ini adalah untuk menguji pengaruh tingkat perputaran
piutang terhadap profitabilitas yang diukur dengan Return On Asset. Obyek
penelitian yaitu perusahaan manufaktur sektor publik, porselen, dan kaca periode
tahun 2008 - 2013. Penelitian ini menggunakan metode kuantitatif yang terdiri
dari dua variabel yaitu perputaran piutang sebagai variabel independen dan
profitabilitas sebagai variabel dependen. Jenis data yang digunakan yaitu data
kuantitatif dan sumber data yang digunakan yaitu data sekunder. Teknik
pengumpulan data ini adalah teknik dokumentasi. Metode analisis data yang
digunakan dalam penelitian ini adalah analisis regresi sederhana dan diuji
dengan Uji-t. Hasil pengujian menunjukkan bahwa perputaran piutang memiliki
pengaruh berbalik arah terhadap profitabilitas. Hasil penelitian ini dapat dilihat
pada pengujian hipotesis melalui Uji-t yang menunjukkan tidak signifikansi tingkat
perputaran piutang sebesar 0,123 berada diatas 0,05 yang berarti tingkat
perputaran piutang berpengaruh negatif dan tidak signifikan terhadap
profitabilitas (ROA). Hasil penelitian ini diperkuat dengan pengujian Koefisien
Determinasi dapat dilihat pada R Square sebesar 0,211 yang berarti hubungan
antara perputaran piutang dengan profitabilitas mempunyai hubungan yang
sangat lemah. 
Kata Kunci : Piutang, Tingkat Perputaran Piutang, Profitabilitas (Return On
Asset).
"," Wilauddin, 100211100015. Effect Receivables turnover against Profabilitas 
(ROA) in the company Industrial Manufacturing Sector Ceramic, Porcelain and
Glass listed on the Indonesia Stock Exchange (IDX). Thesis. Faculty of
Economics, University of Trunojoyo. Advisor: (I) Drs. Ec. H. Makhmud Zulkifli,
M.Sc. (II) R. Gatot Heru Pranjoto, S.E., M.M. 
The purpose of this study was to examine the effect of accounts
receivable turnover rate of profitability as measured by return on assets. Object of
research is the public sector manufacturing, porcelain, and glass-year period
2008 - 2013. This study uses quantitative methods consist of two variables: the
accounts receivable turnover and profitability as an independent variable as the
dependent variable. The type of data used are quantitative data and data sources
used are secondary data. This data collection technique is a technique
documentation. Data analysis methods used in this study is a simple regression
analysis and tested by t-test. The results show that the accounts receivable
turnover has reversed the effect on profitability. The results of this study can be
seen in the hypothesis testing via t-test showed no significant accounts
receivable turnover rate of 0.123 is above 0.05, which means that the level of
accounts receivable turnover and no significant negative impact on profitability
(ROA). These results reinforced the determination coefficient test can be seen in
the R Square of 0.211 which means the relationship between the accounts
receivable turnover profitability has a very weak relationship. 

Keywords: Accounts Receivable, Accounts Receivable Turnover Rate,
profitability (return on assets). 
 "
